Town,Within_10%
ANG MO KIO,79.86257928118393
BEDOK,85.31994981179423
BISHAN,76.41866330390921
BUKIT BATOK,85.85227272727273
BUKIT MERAH,80.21015761821366
BUKIT PANJANG,79.94029850746269
BUKIT TIMAH,86.4406779661017
CENTRAL AREA,82.11586901763224
CHOA CHU KANG,88.74939642684694
CLEMENTI,75.0
GEYLANG,81.26747437092264
HOUGANG,80.56807935076645
JURONG EAST,81.47321428571429
JURONG WEST,86.91014867485455
KALLANG/WHAMPOA,81.55767817781043
MARINE PARADE,73.91304347826086
PASIR RIS,86.8380062305296
PUNGGOL,88.59150217464034
QUEENSTOWN,76.74979887369268
SEMBAWANG,89.73481608212147
SENGKANG,84.57641429777652
SERANGOON,67.91979949874687
TAMPINES,87.83282777216043
TOA PAYOH,78.80149812734082
WOODLANDS,90.33785917271867
YISHUN,85.42662116040955
