Town,n,MAE,Pct_within_10pct
BUKIT BATOK,1069,23993.31557059831,93.63891487371376
CHOA CHU KANG,803,27485.789305309067,90.16189290161893
JURONG WEST,1226,27312.182875859384,87.27569331158239
SEMBAWANG,569,31474.89736446044,85.9402460456942
BUKIT PANJANG,504,39509.83397912542,82.93650793650794
WOODLANDS,1227,36152.26046217332,82.72208638956805
YISHUN,1146,34889.130234597,82.63525305410123
HOUGANG,930,39965.45580783109,82.15053763440861
PASIR RIS,419,43057.826264312374,82.10023866348448
PUNGGOL,1217,40491.27515919559,81.18323746918652
ANG MO KIO,641,38350.22097830375,79.71918876755069
BEDOK,828,38394.970632925004,79.22705314009661
SENGKANG,1235,43756.20684674632,77.7327935222672
JURONG EAST,344,33277.21457188791,77.61627906976744
TAMPINES,1192,45032.14972444213,77.26510067114094
CLEMENTI,348,48687.65920141459,74.71264367816092
MARINE PARADE,75,48618.52825182732,74.66666666666667
BUKIT MERAH,642,57359.30163246481,72.89719626168224
TOA PAYOH,482,49191.069466861976,70.74688796680498
QUEENSTOWN,424,56046.02813218093,67.68867924528303
BUKIT TIMAH,40,74072.51167549376,65.0
CENTRAL AREA,112,71839.42226092289,63.39285714285714
BISHAN,231,77728.05675621728,62.77056277056276
KALLANG/WHAMPOA,542,71851.77340154196,59.040590405904055
GEYLANG,383,55146.906184398686,58.485639686684074
SERANGOON,277,68178.26341353028,58.12274368231047
